"id","name","description","default_code"
"__export__.product_template_447_2c2ba7c1","Spliffin - Vape Cartridge - Pure Dante's Fire Indica - 0.5ml","","CO0017"
"__export__.product_template_441_10f01908","Spliffin - Vape Cartridge - Pure Dante's Fire Indica - 1ml","","CO0011"
"__export__.product_template_446_5a617027","Spliffin - Vape Cartridge - Pure Donna OG Indica - 0.5ml","","CO0016"
"__export__.product_template_440_f8e96940","Spliffin - Vape Cartridge - Pure Donna OG Indica - 1ml","","CO0010"
"__export__.product_template_450_212c6f60","Spliffin - Vape Cartridge - Pure Helio Jack Sativa - 0.5ml","","CO0020"
"__export__.product_template_444_fb76f4f1","Spliffin - Vape Cartridge - Pure Helio Jack Sativa - 1ml","","CO0013"
"__export__.product_template_448_5b927eaa","Spliffin - Vape Cartridge - Pure Spliffin OG Indica - 0.5ml","","CO0018"
"__export__.product_template_442_f01b8f5e","Spliffin - Vape Cartridge - Pure Spliffin OG Indica - 1ml","","CO0015"
"__export__.product_template_451_4988aa79","Spliffin - Vape Cartridge - Pure Super Spliffin Haze Sativa - 0.5ml","","CO0021"
"__export__.product_template_445_918f491c","Spliffin - Vape Cartridge - Pure Super Spliffin Haze Sativa - 1ml","","CO0014"
"__export__.product_template_449_bb77671c","Spliffin - Vape Cartridge - Pure Tangie Sativa - 0.5ml","","CO0019"
"__export__.product_template_443_86ec1b6b","Spliffin - Vape Cartridge - Pure Tangie Sativa - 1ml","","CO0012"
"__export__.product_template_454_acf8d9cf","Spliffin Diamond Sauce Dante's Fire Indica 1g","","CO0024"
"__export__.product_template_427_fa7679f3","Vapor Slide - V1 Vapor Slide - Matte Black","","AC0005"
"__export__.product_template_428_2b6b1ce7","Vapor Slide - V2 Vapor Slide - Gun Metal","","AC0006"
"__export__.product_template_439_2dba53cd","Vapor Slide - V2 Vapor Slide - Rose Gold","","AC0007"
"import_03_29_0003","Pen Simple - Accessory - Vapor Deliver System - NO THC or CBD","","AC0001"
"import_03_29_0004","Pen Simple Direct - Accessory - Vapor Deliver System - NO THC or CBD","","AC0002"
"__export__.product_template_675_46a8480e","9] Dollar Dose - Golden Lemon - Crumble - 1g  ","",""
"import_03_30_0016","Alpha Extracts - Tincture - CBD Vape Assorted - 50mg","","CO0008"
"__export__.product_template_672_0bc53b3a","Canna Superior - Joint and Muscle Balm - CBD Topical - 1oz","","TP0017"
"__export__.product_template_674_b90d6d9a","Canna Superior - Tiger Calm - CBD Topical - 1/4oz","","TP0019"
"__export__.product_template_673_6f973d05","Canna Superior - Tiger Calm - CBD Topical - 1oz  ","","SKU0018"
"import_product_04_011_005","Cannatique - Flower - Platinum Bueberry Animal Cookies Prepackaged - 3.5g","","FL0007"
"import_03_29_0019","Cosmo D's - Chocolate - Edible Rice Krispy Treat - Snickerdoodle - 100mg","","ED0013"
"__export__.product_template_419_08b5cc8b","Endo - Endodrops Berry 300mg CBD 2oz","","ED0027"
"__export__.product_template_643_2ab48483","Endo - Endowater - Pure - 10mg CBD - 500ml","","BE0006"
"__export__.product_template_420_20d8c729","Endodrops Spearmint 300mg CBD 2oz","","ED0029"
"__export__.product_template_636_bfcb7fb1","Eudaimonia - CBD Sugar Scrub - Orange Lavender -100mg","","TP0015"
"__export__.product_template_635_04e4c678","Eudaimonia - CBD Sugar Scrub - Peppermint - 100mg","","TP0015"
"__export__.product_template_639_aea8a57b","Eudaimonia - CBD Tincture - 500mg","","ED0063"
"__export__.product_template_638_63623aa3","Eudaimonia - Medicated Body Lotion - Aloe Vera - 100mg","","TP0017"
"__export__.product_template_637_d41bf5ac","Eudaimonia - Medicated Body Lotion - Rosemary Lavender - 100mg","","TP0016"
"__export__.product_template_630_f0a456b5","Flavrx - CBD Cartridge - Banana - 500mg","","VA0034"
"__export__.product_template_632_7bc61524","Flavrx - CBD Cartridge - Bubble Gum - 500mg","","VA0035"
"__export__.product_template_631_dc949711","Flavrx - CBD Cartridge - Grape - 500mg","","VA0036"
"__export__.product_template_629_a013b269","Flavrx - CBD Cartridge - Grapefruit - 500mg","","VA0033"
"__export__.product_template_627_71d86e4e","Flavrx - CBD Cartridge - Pear herer - 500mg","","VA0030"
"__export__.product_template_626_f5b67ab1","Flavrx - CBD Cartridge - Strawberry - 500mg","","VA0029"
"__export__.product_template_628_b74c0fb0","Flavrx - CBD Cartridge - Tropical trainwreck - 500mg","","VA0031"
"__export__.product_template_620_67273329","Flavrx - CBD Gummies - Apple - 100mg ","","ED0058"
"__export__.product_template_622_94b87ad9","Flavrx - CBD Gummies - Cotton Candy - 100mg","","ED0060"
"__export__.product_template_624_30d74de9","Flavrx - CBD Gummies - Rainbow - 100mg","","ED0062"
"__export__.product_template_623_e10f6e07","Flavrx - CBD Gummies - Strawberry - 100mg","","ED0061"
"__export__.product_template_619_424f6d02","Flavrx - CBD Gummies - Strawberry Banana - 100mg ","","ED0057"
"__export__.product_template_625_d0dca753","Flavrx - CBD Gummies - Watermelon - 100mg","","ED0063"
"__export__.product_template_634_95148d6f","Flavrx - CBD Roll on Gel - 100mg - 0.35oz","","TP0013"
"__export__.product_template_633_97681e6b","Flavrx - CBD Salve - 50mg - 1.5oz","","TP0014"
"__export__.product_template_574_c9a32e0e","Jambo - Breath Spray - Cinnamon - 1000mg CBD - 1oz","","ED0047"
"__export__.product_template_572_3f7495fb","Jambo - Breath Spray - Cinnamon - 100mg CBD - 1oz","","ED0045"
"__export__.product_template_575_2f00d5de","Jambo - Breath Spray - Cinnamon - 200mg CBD - 1oz","","ED0048"
"__export__.product_template_573_1bd3567a","Jambo - Breath Spray - Cinnamon - 500mg CBD - 1oz","","ED0046"
"__export__.product_template_571_9f4e9bf6","Jambo - Breath Spray - Mint - 1000mg CBD - 1oz","","ED0044"
"__export__.product_template_568_b7a2681d","Jambo - Breath Spray - Mint - 100mg CBD - 1oz","","ED0041"
"__export__.product_template_569_e58efa91","Jambo - Breath Spray - Mint - 200mg CBD - 1oz","","ED0042"
"__export__.product_template_570_5f4b21e8","Jambo - Breath Spray - Mint - 500mg CBD - 1oz","","ED0043"
"__export__.product_template_580_3a4f0157","Jambo - CBD lip balm","","TP0008"
"__export__.product_template_579_139b596a","Jambo - Daily Ritual Ghee - 1000mg CBD - 12oz","","ED0052"
"__export__.product_template_577_839d5bdd","Jambo - Daily Ritual Ghee - 200mg CBD - 12oz","","ED0050"
"__export__.product_template_578_b8127501","Jambo - Daily Ritual Ghee - 500mg CBD - 12oz","","ED0051"
"__export__.product_template_576_aa3250dc","Jambo - Daily Ritual Ghee - 50mg CBD - 12oz","","ED0049"
"__export__.product_template_593_4725f6ed","Lemon Tree - Grinder","","AC0022"
